label,location,loc1_vall,loc2_vall,loc3_vall,loc4_vall,loc5_vall,season,spring,summer,fall,winter,after_storm,land_use,developed,agriculture,forest,"(50, 50, 50, 50, 50)","(6, 10, 0, 5, 0)","(6, 8, 0, 4, 0)","(1, 2, 0, 1, 0)","(8, 11, 1, 2, 0)","(1, 2, 0, 0, 0)","(2, 2, 0, 1, 0)","(2, 4, 0, 1, 0)","(3, 6, 0, 1, 0)","(8, 8, 0, 0, 0)","(10, 8, 0, 4, 0)","(5, 8, 0, 0, 0)","(1, 0, 0, 2, 0)","(0, 2, 0, 1, 0)","(0, 3, 1, 0, 0)","(0, 2, 0, 0, 1)","(0, 2, 0, 0, 0)","(0, -2, 0, 1, 0)","(0, -2, 0, 2, 0)","(0, 0, 0, 1, 0)","(0, 1, 1, 0, 0)","(0, 0, 0, 0, 1)","(9, 8, 0, 2, 0)","(6, 4, 0, 1, 0)","(9, 10, 0, 3, 0)","(7, 2, 0, 3, 0)","(6, 4, 0, 3, 0)","(7, 6, 0, 2, 0)","(8, 8, 0, 3, 0)","(0, 0, 0, 3, 1)","(0, -2, 0, 2, 1)"
DOM_1,1,1,0,0,0,0,4,0,0,0,1,0,1,1,0,0,0.057527819,0.069325913,0.059411756,0.041862802,0.05396776,0.034454996,0.04964088,0.054419278,0.057650025,0.056838598,0.060579793,0.055127057,0.056749316,0.038565923,0.070239289,0.05906395,0.024000475,0.034889125,0.047925408,0.035859872,0.083517825,0.059737656,0.064114841,0.056771554,0.059210917,0.061484189,0.058845276,0.063547855,0.062992982,0.064066202,0.060567077
DOM_2,1,1,0,0,0,0,4,0,0,0,1,1,1,1,0,0,0.049439534,0.051782919,0.055031667,0.053953585,0.053334184,0.046644922,0.05042109,0.051370131,0.059863839,0.052602389,0.053449966,0.050868256,0.05707146,0.038327643,0.050832344,0.055254629,0.041065486,0.045356967,0.057175591,0.038974438,0.050651537,0.054250881,0.049938553,0.05857344,0.049945781,0.050341994,0.052773686,0.049836425,0.055694382,0.055894742,0.058733619
DOM_3,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0.161812371,0.158330323,0.215677398,0.217390318,0.161680827,0.253686556,0.177849419,0.220473807,0.193213722,0.165862646,0.156497502,0.165268855,0.240885663,0.188720317,0.195214395,0.259374573,0.331449459,0.225831804,0.176087777,0.194300273,0.162717226,0.222183739,0.212151497,0.219048593,0.195051992,0.198609179,0.256429354,0.192689322,0.192827477,0.202784967,0.159407038
DOM_4,1,1,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0.24559677,0.248112869,0.424191802,0.330154707,0.26591386,0.314339219,0.289960972,0.344570925,0.285530897,0.249716202,0.319497081,0.254997395,0.305331588,0.328138677,0.258290401,0.328486211,0.299723675,0.28859764,0.362897389,0.291880444,0.25319121,0.356115619,0.271319547,0.272116727,0.426990796,0.290611462,0.415391471,0.299427624,0.306863508,0.41587625,0.250772854
DOM_5,1,1,0,0,0,0,2,0,1,0,0,0,1,1,0,0,0.050353381,0.050061441,0.048172153,0.036062016,0.047497739,0.032134083,0.0454018,0.047100941,0.050995471,0.049302211,0.052378426,0.050145003,0.043350378,0.033278753,0.051898001,0.05664344,0.02437717,0.032762158,0.04193268,0.03097107,0.059310236,0.049177916,0.048131267,0.05669008,0.048975157,0.048503499,0.044297029,0.048918215,0.047888291,0.049531886,0.050786429
DOM_6,1,1,0,0,0,0,2,0,1,0,0,1,1,1,0,0,0.028709124,0.028802396,0.029029379,0.021201043,0.032473405,0.013766139,0.0278791,0.030857693,0.032676684,0.027678382,0.030166609,0.027910324,0.031253674,0.016732787,0.027008184,0.029741148,0.004976311,0.015386138,0.025155797,0.013830269,0.025063105,0.027924826,0.029566568,0.032471286,0.030785232,0.02884162,0.025583421,0.030088168,0.028512728,0.029558817,0.031955897
DOM_7,1,1,0,0,0,0,3,0,0,1,0,1,1,1,0,0,0.087381923,0.088622213,0.092635854,0.109020491,0.093245841,0.111647367,0.086146731,0.284461646,0.094785126,0.088848159,0.087193967,0.089626252,0.09908162,0.091083101,0.10220368,0.108978099,0.089253034,0.097664872,0.153613202,0.105171055,0.088940323,0.135000137,0.093780044,0.090043839,0.098204644,0.093483427,0.09620585,0.258165938,0.110713014,0.145579828,0.090186018
DOM_8,1,1,0,0,0,0,3,0,0,1,0,0,1,1,0,0,0.05106323,0.050289968,0.059202023,0.039755949,0.053478065,0.030944799,0.054470051,0.046992268,0.059073491,0.051124819,0.0485712,0.050547672,0.049401792,0.034821408,0.05749153,0.060239388,0.023813214,0.032524123,0.050423613,0.03159724,0.136739223,0.06885558,0.060686113,0.050484495,0.047617092,0.066269153,0.049678728,0.046283776,0.048375217,0.051145391,0.055181189
DOM_9,2,0,1,0,0,0,4,0,0,0,1,0,3,0,0,1,0.062010896,0.073861137,0.07957843,0.055261223,0.070083265,0.058562755,0.061859166,0.064111009,0.069438718,0.063359612,0.082820813,0.067130745,0.083857806,0.065293328,0.083754197,0.111137101,0.079616467,0.065189348,0.084598481,0.076610859,0.070294653,0.084430863,0.066716167,0.069578485,0.065205273,0.069037509,0.074505972,0.071026281,0.071538008,0.073351756,0.066999376
DOM_10,2,0,1,0,0,0,4,0,0,0,1,1,3,0,0,1,0.047227565,0.062386682,0.057795564,0.032910484,0.052693034,0.024529679,0.040698844,0.044715887,0.047656908,0.052513727,0.055478402,0.047739861,0.046115757,0.031371147,0.047783284,0.047981316,0.013452684,0.024733087,0.037317053,0.024589268,0.053275517,0.051108804,0.054957562,0.0486524,0.055277912,0.04627084,0.051213037,0.047638585,0.052790964,0.052463854,0.052086248
DOM_11,2,0,1,0,0,0,1,1,0,0,0,0,3,0,0,1,0.037195817,0.040077927,0.038908453,0.027441778,0.039136845,0.022421354,0.035247186,0.037337179,0.040062626,0.042166604,0.038987261,0.037820058,0.037753783,0.024324912,0.040542794,0.040167618,0.012761202,0.021155758,0.032481671,0.020921278,0.04601548,0.041105965,0.03960937,0.040548217,0.03597439,0.041464903,0.039113773,0.040550315,0.038355625,0.04134312,0.042028509
DOM_12,2,0,1,0,0,0,1,1,0,0,0,1,3,0,0,1,0.04683944,0.050067169,0.048660597,0.037551135,0.046609941,0.02999855,0.045809865,0.049088511,0.051020437,0.049244352,0.05148763,0.048456945,0.048096956,0.032850334,0.050498773,0.046745037,0.024944974,0.031128433,0.044880358,0.030344229,0.047222712,0.049893388,0.050406325,0.04921613,0.047388555,0.046519762,0.04574848,0.046590233,0.0480172,0.053127069,0.045538336
DOM_13,2,0,1,0,0,0,2,0,1,0,0,0,3,0,0,1,0.040902392,0.043630186,0.043648842,0.041848684,0.042860546,0.032345557,0.040972978,0.043124807,0.045409951,0.041404273,0.046219787,0.042699299,0.051093667,0.030189341,0.044943969,0.057393985,0.032904497,0.038400654,0.046046495,0.035437489,0.042306477,0.044679254,0.043129972,0.053029316,0.045535528,0.04150734,0.043186282,0.040255803,0.041906146,0.042965261,0.043378392
DOM_14,2,0,1,0,0,0,2,0,1,0,0,1,3,0,0,1,0.043142192,0.042325348,0.039146969,0.037854521,0.046499992,0.036240136,0.041691724,0.043449532,0.04901432,0.043778944,0.045267224,0.044164447,0.046939964,0.030438637,0.039626727,0.041309943,0.027651746,0.041732621,0.044917616,0.031032433,0.040916944,0.044045895,0.043058668,0.046143347,0.04197511,0.04265598,0.046865772,0.04180652,0.042113721,0.043249312,0.042743529
DOM_15,2,0,1,0,0,0,3,0,0,1,0,1,3,0,0,1,0.047205932,0.04234268,0.041624537,0.044503516,0.041515671,0.034763284,0.041906973,0.044691028,0.046453751,0.040729906,0.043866959,0.041658191,0.04557073,0.030086704,0.039637888,0.041671423,0.026621092,0.034968784,0.04254694,0.03499237,0.039716789,0.044159337,0.044476034,0.044341903,0.044401801,0.041921088,0.042875016,0.042059758,0.041861855,0.042733965,0.044185618
DOM_16,2,0,1,0,0,0,3,0,0,1,0,0,3,0,0,1,0.07371629,0.076801701,0.073733256,0.063460686,0.073434917,0.055482012,0.069938736,0.07698815,0.077076525,0.075084707,0.073012247,0.076721566,0.071383819,0.063184013,0.078677136,0.074210826,0.047431645,0.059658447,0.06769597,0.053587757,0.079136922,0.081844229,0.076360484,0.077506481,0.077087276,0.074180661,0.073162356,0.070168289,0.074722985,0.076353685,0.075056316
DOM_17,3,0,0,1,0,0,1,1,0,0,0,1,2,0,1,0,0.034042309,0.039862041,0.035499807,0.032054855,0.03691323,0.017738875,0.036664982,0.038785953,0.039211592,0.034261872,0.039596801,0.035698632,0.039265925,0.025817902,0.035187756,0.037434,0.013886574,0.02222364,0.032327933,0.024494899,0.035693646,0.036887474,0.034543116,0.035981776,0.034725915,0.035139012,0.034732266,0.035775302,0.035189714,0.036537612,0.037717637
DOM_18,3,0,0,1,0,0,2,0,1,0,0,0,2,0,1,0,0.052550905,0.055592993,0.04924819,0.033530016,0.060095898,0.024034777,0.041857936,0.0447924,0.048138752,0.046632913,0.053020039,0.04675043,0.045938554,0.031828096,0.059077007,0.056743096,0.01310927,0.025192241,0.039387061,0.024792325,0.064264266,0.054545591,0.050832632,0.054951866,0.050527031,0.051302203,0.044073402,0.046847554,0.046342893,0.055504715,0.053636014
DOM_19,3,0,0,1,0,0,2,0,1,0,0,1,2,0,1,0,0.031612594,0.03450067,0.030566968,0.024878452,0.035604867,0.018555351,0.032700125,0.033203879,0.034893983,0.033656685,0.032728008,0.032007039,0.035564377,0.020365821,0.033738855,0.033405035,0.010741724,0.020104702,0.02839056,0.01888592,0.031766052,0.033877453,0.029634952,0.035155676,0.031367586,0.032319814,0.030375284,0.030371128,0.032060967,0.032752668,0.032606489
DOM_20,3,0,0,1,0,0,4,0,0,0,1,0,2,0,1,0,0.041004125,0.037355519,0.034397392,0.023349169,0.033661736,0.017528094,0.044156912,0.031886742,0.031039958,0.028954911,0.039038067,0.03449177,0.031235713,0.024208029,0.04214307,0.041744163,0.00861998,0.018119355,0.025521484,0.017814869,0.035871231,0.031631141,0.031656653,0.031039436,0.038372963,0.030948898,0.029452079,0.033644153,0.028076817,0.034361378,0.036820549
DOM_21,3,0,0,1,0,0,4,0,0,0,1,1,2,0,1,0,0.038566464,0.03659174,0.031876256,0.020578922,0.03066371,0.018424642,0.030509209,0.034753953,0.032624311,0.030360843,0.038358485,0.032910117,0.030738408,0.019885869,0.035463771,0.035826736,0.0096534,0.018408926,0.026982457,0.019608784,0.037084405,0.036102701,0.031462392,0.032334385,0.030995724,0.032394483,0.030951076,0.02916782,0.031232315,0.036758538,0.031116662
DOM_22,3,0,0,1,0,0,1,1,0,0,0,0,2,0,1,0,0.032147223,0.038737824,0.034707006,0.022749112,0.033928727,0.017797374,0.034546012,0.031553291,0.032267569,0.031021477,0.028153087,0.034530501,0.036476975,0.027238431,0.038047911,0.036741694,0.009654893,0.018928087,0.027910848,0.016667403,0.043178114,0.035317199,0.031203575,0.033749184,0.036940236,0.028865145,0.03096032,0.034602921,0.035756188,0.030728418,0.0320765
DOM_23,3,0,0,1,0,0,3,0,0,1,0,1,2,0,1,0,0.113126538,0.114795786,0.125801523,0.146967557,0.110194194,0.164210756,0.104207867,0.137749962,0.110512241,0.10981104,0.118744476,0.113242159,0.132954294,0.101552001,0.113544347,0.129562896,0.125760545,0.123974815,0.255661716,0.118632739,0.225184148,0.121364692,0.119725688,0.107270352,0.115328377,0.13156874,0.125861982,0.12998862,0.125284047,0.139319866,0.109270402
DOM_24,3,0,0,1,0,0,3,0,0,1,0,0,2,0,1,0,0.051317408,0.060728189,0.054729139,0.041975854,0.047790113,0.027623375,0.050117672,0.055634912,0.060179404,0.057851478,0.051548279,0.053370635,0.047738886,0.041336794,0.049759699,0.064370264,0.025885428,0.037074541,0.041225227,0.030861309,0.051549355,0.051897573,0.050301193,0.05076669,0.046657278,0.052485853,0.053456105,0.046768891,0.046968381,0.050303323,0.05137221
DOM_25,4,0,0,0,1,0,4,0,0,0,1,0,3,0,0,1,0.052934332,0.057271774,0.050042102,0.033097821,0.046293857,0.024805049,0.040451609,0.044384194,0.050042958,0.051498789,0.052039536,0.044354381,0.047037436,0.02991124,0.048893664,0.05390653,0.013624206,0.02599409,0.0378158,0.025270529,0.062048606,0.052108001,0.050111454,0.054011065,0.051783387,0.054674351,0.050763735,0.050737474,0.052127909,0.049922843,0.052746988
DOM_26,4,0,0,0,1,0,4,0,0,0,1,1,3,0,0,1,0.026280939,0.027653253,0.026898036,0.017290984,0.025520146,0.012388803,0.023756974,0.026176104,0.031872014,0.025873125,0.027905268,0.027353483,0.026578489,0.015014076,0.029574716,0.030407921,0.004667321,0.014058923,0.020882117,0.012807728,0.023796324,0.027872438,0.026503746,0.029883496,0.02455258,0.02435787,0.024244971,0.026383432,0.024183087,0.02775233,0.025394863
DOM_27,4,0,0,0,1,0,1,1,0,0,0,0,3,0,0,1,0.043386421,0.046503692,0.042836299,0.028622511,0.04198516,0.023789994,0.038429017,0.042008477,0.042524619,0.040887956,0.040051717,0.045740224,0.041489337,0.028116609,0.054628352,0.044886122,0.013096743,0.023813664,0.034848723,0.023140542,0.042547388,0.041027773,0.043355906,0.042304002,0.044915966,0.044944441,0.044474456,0.042656146,0.044115046,0.044125494,0.042697399
DOM_28,4,0,0,0,1,0,1,1,0,0,0,1,3,0,0,1,0.045418393,0.052647502,0.04750709,0.038357838,0.046455331,0.032731005,0.04760957,0.047221422,0.051155196,0.050378253,0.047073506,0.04657468,0.048977804,0.037175955,0.049328595,0.047363877,0.023726628,0.033744674,0.044173754,0.032061671,0.0432312,0.048772114,0.048670827,0.050104584,0.049989087,0.047295808,0.048873044,0.043065667,0.052765988,0.0469047,0.055603107
DOM_29,4,0,0,0,1,0,2,0,1,0,0,0,3,0,0,1,0.142498963,0.145829639,0.161627593,0.205892433,0.138083064,0.299826693,0.145861345,0.260962754,0.185125098,0.154782061,0.139034018,0.194224934,0.148537472,0.151009939,0.139751489,0.197740733,0.131485762,0.174462574,0.159176924,0.158726105,0.204465239,0.27031066,0.139327928,0.149471017,0.208648616,0.14018286,0.230012607,0.208035371,0.147332361,0.156226581,0.213921817
DOM_30,4,0,0,0,1,0,2,0,1,0,0,1,3,0,0,1,0.140821049,0.137197078,0.134308844,0.143269338,0.137496885,0.160186322,0.132856329,0.124074021,0.124023481,0.13367969,0.125279758,0.13294486,0.146952262,0.15591836,0.124866125,0.203255275,0.165460633,0.145984527,0.139255561,0.131340367,0.121015385,0.124461283,0.135688912,0.157675745,0.122470319,0.144127889,0.121278888,0.12653379,0.132760881,0.122674791,0.118382722
DOM_31,4,0,0,0,1,0,3,0,0,1,0,1,3,0,0,1,0.031036532,0.029599617,0.02761013,0.019034451,0.031007543,0.014329933,0.025092987,0.028531238,0.029485276,0.029012596,0.028306812,0.029188611,0.028753832,0.016107143,0.026453273,0.033375375,0.004773613,0.016238603,0.023414355,0.01435478,0.027669705,0.033268184,0.029335104,0.029448538,0.02956158,0.028480734,0.028179399,0.027029879,0.028510697,0.028865238,0.02845727
DOM_32,4,0,0,0,1,0,3,0,0,1,0,0,3,0,0,1,0.036930093,0.038812774,0.034963806,0.023237786,0.034491965,0.016012644,0.031179307,0.033102693,0.038132824,0.035067491,0.029559309,0.032907025,0.034784768,0.02136016,0.041071313,0.032589414,0.009365601,0.017517552,0.027412026,0.017783921,0.032515997,0.034953016,0.034796668,0.036179165,0.033163766,0.034482913,0.028980748,0.03412816,0.032536781,0.034850652,0.035685499
DOM_33,5,0,0,0,0,1,4,0,0,0,1,0,2,0,1,0,0.130287074,0.123220884,0.129239544,0.143296144,0.128461232,0.131990873,0.137158413,0.141907826,0.136542187,0.13201834,0.121712153,0.122133423,0.153437177,0.111658631,0.237978462,0.144550293,0.230627855,0.133743699,0.148737902,0.125719193,0.130785016,0.128470354,0.122156613,0.135897069,0.13321463,0.142954118,0.12283575,0.21707686,0.134538369,0.204899324,0.132473291
DOM_34,5,0,0,0,0,1,4,0,0,0,1,1,2,0,1,0,0.127234775,0.131652615,0.146313549,0.135028161,0.13720354,0.146316936,0.142034609,0.134131536,0.135587016,0.122986523,0.128893776,0.119774373,0.148807861,0.12087072,0.133491819,0.12889728,0.196194703,0.117574463,0.129294852,0.112153255,0.12755193,0.134146815,0.122149866,0.129571633,0.122570752,0.127004595,0.132623724,0.119891989,0.119419036,0.137617341,0.127821368
DOM_35,5,0,0,0,0,1,1,1,0,0,0,0,2,0,1,0,0.045820629,0.049895115,0.050485447,0.031428528,0.050287,0.024975314,0.037249578,0.043443476,0.043235749,0.049135158,0.045765662,0.043388391,0.041577494,0.030425895,0.049910678,0.041310702,0.015585141,0.026187794,0.035588326,0.023935357,0.066013197,0.045505145,0.046057675,0.04875294,0.050712588,0.044591207,0.04702177,0.045571058,0.040801226,0.046897727,0.047799675
DOM_36,5,0,0,0,0,1,1,1,0,0,0,1,2,0,1,0,0.181313571,0.195142816,0.218867476,0.212581579,0.172776958,0.252223828,0.215627376,0.484562279,0.20086601,0.16969863,0.204675066,0.17444133,0.19036821,0.212323839,0.204212838,0.20952552,0.206517914,0.192782826,0.238164196,0.192336831,0.171625481,0.215632801,0.440238424,0.196593841,0.175131849,0.17718612,0.247341453,0.166092743,0.466902588,0.222192751,0.174486199
DOM_37,5,0,0,0,0,1,2,0,1,0,0,0,2,0,1,0,0.135090623,0.354294117,0.130494984,0.144283369,0.127683446,0.126120752,0.150275255,0.147291535,0.126801534,0.12683954,0.125169621,0.12400314,0.147409708,0.168079294,0.136776807,0.207716525,0.138106033,0.124529973,0.138543099,0.118543334,0.154627716,0.159804569,0.12418635,0.125256447,0.13244948,0.122781616,0.130406049,0.207847826,0.226597395,0.143163059,0.137984474
DOM_38,5,0,0,0,0,1,2,0,1,0,0,1,2,0,1,0,0.140079487,0.131241824,0.15975309,0.145772879,0.126698619,0.161010359,0.120202384,0.146985673,0.127357947,0.122963742,0.132111733,0.13375599,0.144964501,0.120176384,0.1466038,0.176445675,0.375487493,0.155625318,0.147755072,0.142435622,0.146111237,0.179238378,0.155991409,0.133265055,0.150263548,0.125138731,0.14413335,0.167599794,0.134931009,0.15074449,0.142919013
DOM_39,5,0,0,0,0,1,3,0,0,1,0,1,2,0,1,0,0.042686717,0.043766647,0.047994784,0.037569542,0.04414704,0.030969255,0.03988655,0.042150323,0.045808078,0.043927584,0.043429673,0.044165738,0.045988932,0.030097458,0.041287695,0.045242068,0.018054071,0.029712879,0.047103767,0.033045659,0.041101524,0.046185531,0.043059025,0.046715367,0.045687276,0.045004164,0.044699823,0.048070859,0.046891259,0.044981332,0.045039733
DOM_40,5,0,0,0,0,1,3,0,0,1,0,0,2,0,1,0,0.161638363,0.158715221,0.173335827,0.162061718,0.167799324,0.176850777,0.185391445,0.18520739,0.16568985,0.191216485,0.17342514,0.162144246,0.175717794,0.14446528,0.165750006,0.21106464,0.189070152,0.172138144,0.179539381,0.197646448,0.156271173,0.171067454,0.193333011,0.191811637,0.16707236,0.184012981,0.19197269,0.169034048,0.164234247,0.198067691,0.152551256