label,location,season,after_storm,land_use,C1,C2,C3,C4,C5,C6
DOM_1,1,4,0,1,0.597357517,0.284324197,0.145243111,0.133407589,0.13763068,0.154777052
DOM_2,1,4,1,1,1.090908479,0.471672448,0.32719381,0.273390694,0.238128116,0.435156061
DOM_3,1,1,0,1,0.600807924,0.290850197,0.160033787,0.120668758,0.265766407,0.354952168
DOM_4,1,1,1,1,0.883082845,0.393878125,0.239212349,0.20097091,0.309839018,0.350928953
DOM_5,1,2,0,1,0.856027342,0.437123624,0.218065767,0.202004494,0.356438687,0.432247373
DOM_6,1,2,1,1,1.369667554,0.683803175,0.372306564,0.271316441,0.647750266,0.579664576
DOM_7,1,3,1,1,2.333403169,0.936991646,0.697371867,0.596141907,0.415199878,0.675900136
DOM_8,1,3,0,1,0.649592575,0.334754891,0.148466323,0.148080935,0.097145255,0.441633662
DOM_9,2,4,0,3,1.393050056,0.496191571,0.393617494,0.296042336,0.288851208,0.334992342
DOM_10,2,4,1,3,1.474680442,0.515411677,0.458497855,0.338676215,0.311717459,0.361762288
DOM_11,2,1,0,3,0.781975063,0.374924149,0.187484022,0.146312219,0.414418698,0.485438776
DOM_12,2,1,1,3,0.820710667,0.382706831,0.204838513,0.15919713,0.353680245,0.468088539
DOM_13,2,2,0,3,1.02506696,0.579578273,0.262344743,0.216820206,0.664353072,0.986864629
DOM_14,2,2,1,3,1.531433751,0.741414821,0.379634394,0.286037769,0.72334074,0.807893977
DOM_15,2,3,1,3,4.854651338,1.528924733,1.625825408,1.193930014,0.704807364,0.996419106
DOM_16,2,3,0,3,0.724690955,0.398235237,0.162901478,0.134529584,0.187531735,0.631152689
DOM_17,3,1,1,2,1.211856993,0.619410858,0.303070198,0.272762094,0.388201102,0.682634749
DOM_18,3,2,0,2,1.446371374,0.803997629,0.384862681,0.308783994,0.649923202,0.759832643
DOM_19,3,2,1,2,1.573980436,0.788528334,0.432983483,0.339771013,0.619533504,0.748157487
DOM_20,3,4,0,2,1.249598973,0.495441198,0.340873873,0.274438832,0.265202314,0.369923147
DOM_21,3,4,1,2,1.126217664,0.439282751,0.324481254,0.256067428,0.235557733,0.352813033
DOM_22,3,1,0,2,1.018677744,0.507436023,0.284810448,0.218100801,0.404920961,0.589251843
DOM_23,3,3,1,2,3.319033126,1.1637916,1.061716656,0.825220058,0.519095155,0.799808991
DOM_24,3,3,0,2,1.057711277,0.573839568,0.251913721,0.240518327,0.212642286,0.762248045
DOM_25,4,4,0,3,0.716860009,0.339529734,0.17950496,0.155802679,0.176887385,0.267998492
DOM_26,4,4,1,3,1.557657376,0.616693358,0.513181721,0.384785626,0.381845549,0.558440391
DOM_27,4,1,0,3,0.560574549,0.304233474,0.13582553,0.109537585,0.252284078,0.502518417
DOM_28,4,1,1,3,0.886641358,0.44689178,0.233396996,0.195777509,0.362279444,0.64305696
DOM_29,4,2,0,3,0.647839027,0.397154899,0.1702112,0.16202649,0.331733357,0.596143826
DOM_30,4,2,1,3,1.374023777,0.645233947,0.399988392,0.337864694,0.483340066,0.564317036
DOM_31,4,3,1,3,2.902250029,1.078565696,0.947997163,0.736482016,0.535130133,0.798371152
DOM_32,4,3,0,3,0.400043319,0.246400978,0.087505911,0.081490519,0.088872714,0.399347752
DOM_33,5,4,0,2,0.469841196,0.236166281,0.109208138,0.109030914,0.072707655,0.083086831
DOM_34,5,4,1,2,1.33877476,0.601484162,0.398930714,0.31703705,0.312715735,0.659945523
DOM_35,5,1,0,2,0.498009724,0.242827367,0.130636923,0.12417983,0.117859914,0.171047747
DOM_36,5,1,1,2,1.154911754,0.52994278,0.315052687,0.284837698,0.299282021,0.331493176
DOM_37,5,2,0,2,0.256160935,0.149197831,0.061375656,0.057389598,0.060085152,0.126653393
DOM_38,5,2,1,2,0.718820137,0.356632868,0.188758404,0.184032164,0.196418187,0.160526596
DOM_39,5,3,1,2,1.876534119,0.817175796,0.511284891,0.460580886,0.324008499,0.537443659
DOM_40,5,3,0,2,0.411079066,0.21785338,0.094084028,0.098547721,0,0.224077129